name,category,lon,lat,pfpr
High_site_1,High,37.68741288,1.187477666,0.105531037
High_site_2,High,38.68741248,0.145811416,0.136373132
High_site_3,High,39.27074558,-3.937520284,0.686112881
High_site_4,High,34.68741408,2.895810316,0.167259321
High_site_5,High,35.35408048,1.854144066,0.169934869
High_site_6,High,38.77074578,-2.437520884,0.206647739
High_site_7,High,35.27074718,1.395810916,0.166132823
High_site_8,High,38.77074578,-4.187520184,0.431378514
High_site_9,High,34.10408098,4.020809866,0.119560622
High_site_10,High,39.18741228,-4.187520184,0.683053613
High_site_11,High,35.14574723,2.187477266,0.203861639
Medium_site_1,Medium,39.85407868,1.187477666,0.050285649
Medium_site_2,Medium,36.56241333,1.729144116,0.04581508
Medium_site_3,Medium,37.72907953,1.812477416,0.069706783
Medium_site_4,Medium,37.56241293,-1.854187784,0.04591687
Medium_site_5,Medium,35.18741388,3.812476616,0.049052421
Medium_site_6,Medium,39.97907863,-0.312521734,0.07773038
Medium_site_7,Medium,40.35407848,0.604144566,0.085862368
Medium_site_8,Medium,36.97907983,4.187476466,0.067904681
Medium_site_9,Medium,35.27074718,0.645811216,0.045636762
Medium_site_10,Medium,37.35407968,-1.520854584,0.077035226
Medium_site_11,Medium,34.97908063,3.354143466,0.056634251
Medium_site_12,Medium,37.18741308,1.895810716,0.071599729
Medium_site_13,Medium,39.31241223,1.645810816,0.048012283
Medium_site_14,Medium,39.64574543,1.270810966,0.071123332
Medium_site_15,Medium,39.22907893,1.812477416,0.044546023
Medium_site_16,Medium,40.81241163,0.062478116,0.084222034
Medium_site_17,Medium,38.06241273,-1.687521184,0.040348992
Medium_site_18,Medium,37.97907943,2.604143766,0.062573515
Medium_site_19,Medium,40.52074508,0.770811166,0.067074358
Medium_site_20,Medium,40.64574503,1.062477716,0.060817685
Medium_site_21,Medium,37.39574633,2.687477066,0.054694191
Medium_site_22,Medium,37.22907973,2.437477166,0.084770136
Medium_site_23,Medium,40.10407858,1.270810966,0.051932193
Medium_site_24,Medium,37.56241293,-1.312521334,0.059681572
Medium_site_25,Medium,38.27074598,1.479144216,0.083602354
Medium_site_26,Medium,35.22908053,0.729144516,0.085142449
Medium_site_27,Medium,35.43741378,-1.187521384,0.047948342
Low_site_1,Low,37.81241283,-2.979187334,0.033693414
Low_site_2,Low,40.27074518,1.812477416,0.02660495
Low_site_3,Low,40.35407848,3.312476816,0.02642688
Low_site_4,Low,39.39574553,2.104143966,0.035942808
Low_site_5,Low,40.02074528,3.187476866,0.025231151
Low_site_6,Low,37.68741288,-2.479187534,0.027898366
Low_site_7,Low,40.43741178,1.395810916,0.039144602
Low_site_8,Low,37.85407948,-2.937520684,0.031922206
Low_site_9,Low,40.56241173,1.854144066,0.031812228
Low_site_10,Low,37.64574623,-3.354187184,0.032997519
Low_site_11,Low,37.72907953,-3.187520584,0.02883395
Low_site_12,Low,40.56241173,2.854143666,0.01723817
